2017-05-23	-200	0700.HK	278.4	pmamr
2017-05-23	-500	0002.HK	83.4	manual
2017-05-23	-1000	0002.HK	83.3	manual
2017-05-23	2000	1398.HK	5.09	revco
2017-05-23	-11000	3328.HK	5.86	revco
2017-05-23	-5000	0017.HK	9.66	pmamr
2017-05-23	-1600	1128.HK	16.8	mamr
2017-05-23	2000	0857.HK	5.32	revco
2017-05-24	200	0388.HK	195	revco
2017-05-24	-1000	2318.HK	48.5	pmamr
2017-05-24	-1000	0002.HK	83.8	manual
2017-05-25	-2000	0857.HK	5.32	revco
2017-05-25	2000	0857.HK	5.32	manual
2017-05-25	-2000	1658.HK	4.43	revco
2017-05-25	2000	1658.HK	4.43	pmmmr
2017-05-25	-150	2888.HK	74	revco
2017-05-25	150	2888.HK	74	manual
2017-05-25	-2000	1398.HK	5.12	revco
2017-05-26	-1000	1658.HK	4.59	pmmmr
2017-05-26	-1000	1658.HK	4.6	pmmmr
2017-05-26	-200	0388.HK	196.3	revco
2017-05-29	2500	3968.HK	23.7	pmamr
2017-05-29	-2000	3968.HK	23.55	pmamr
2017-05-29	2000	3968.HK	23.55	manual
2017-05-31	42000	0670.HK	4.58	qq/0670.HK/1055.HK
2017-05-31	2000	0341.HK	25.95	qq/0052.HK/0341.HK
2017-05-31	-1600	1128.HK	17.2	mamr
2017-06-01	-2000	0083.HK	13.62	manual
2017-06-01	-4000	0083.HK	13.66	manual
2017-06-01	100	0388.HK	196.3	manual
2017-06-01	100	0388.HK	196.3	revco
2017-06-01	1000	1658.HK	4.7	pmmmr
2017-06-01	9000	1658.HK	4.7	manual
2017-06-01	200	0805.HK	28.55	pmmmr
2017-06-01	1800	0805.HK	28.55	manual
2017-06-01	500	0001.HK	101.3	manual
2017-06-01	-500	3968.HK	23.4	pmamr
2017-06-01	500	3968.HK	23.4	manual
2017-06-02	-4000	0045.HK	9.3	manual
2017-06-02	-1000	0004.HK	69	manual
2017-06-02	-500	3968.HK	23.4	manual
2017-06-02	500	3968.HK	23.4	pmamr
2017-06-05	6000	0883.HK	8.9	revco
2017-06-05	-100	0388.HK	208	manual
2017-06-05	-100	0388.HK	208	revco
